clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
InnKlinikum Altötting,Altötting,,Gesundheits- und Krankenpflegehelfer (m|w|d) / Pflegefachhelfer (m|w|d),hilfskraft,P 6,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine mindestens einjährige abgeschlossene Ausbildung zum Gesundheits- und Krankenpflegerhelfer (m|w|d) oder Altenpflegehelfer (m|w|d) | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8a6230a3783e7258017a0a4fb78254fa
InnKlinikum Altötting,Altötting,Unfallchirurgie,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a68d9eada2018dacb12b1c1ee4
InnKlinikum Altötting,Altötting,Kardiologie,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a69027bc1c0190fd6f53350f11
InnKlinikum Altötting,Altötting,Pneumologie,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d), Gesundheits- und Kinderkrankenpfleger (m|w|d) oder | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität in unseren wachsenden Bereichen",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a694d232e5019528e49cdb1c6b
InnKlinikum Altötting,Altötting,Springer-/ Flexipool,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) | Sie bringen eine mehrjährige Berufserfahrung mit | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,Sie bringen eine mehrjährige Berufserfahrung mit,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a694d232e5019528e6c8ea1ca8
InnKlinikum Altötting,Altötting,Akutgeriatrie,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d), Gesundheits- und Kinderkrankenpfleger (m|w|d) oder | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität in unseren wachsenden Bereichen",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a694d232e5019528ebfc671d12
InnKlinikum Altötting,Altötting,Chirurgie,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d), Gesundheits- und Kinderkrankenpfleger (m|w|d) oder | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a694d232e5019528f0919c1d52
InnKlinikum Altötting,Altötting,,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) | Gesundheits- und Kinderkrankenpfleger (m|w|d) oder Altenpfleger (m|w|d) | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8a6230a3783e725801787a99eb402dae
InnKlinikum Altötting,Altötting,,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) | Gesundheits- und Kinderkrankenpfleger (m|w|d) oder Altenpfleger (m|w|d) | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8a6230a3783e725801787a9e35e52e49
InnKlinikum Altötting,Altötting,Intensiv,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),fachweiterbildung,P 8,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) oder Altenpfleger (m|w|d) | Sie haben eine abgeschlossene Fachweiterbildung Intensiv/Anästhesie | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität in unseren wachsenden Bereichen,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8a6230a3783e72580178f48d19e80256
InnKlinikum Altötting,Altötting,Intensivstation,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) | Sie verfügen idealerweise über die Fachweiterbildung Anästhesie- und Intensivpflege oder sind bereit eine Fachweiterbildung anzustreben | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8a6230a384b0d91e0185067e9ec451a3
InnKlinikum Altötting,Altötting,Neurologie,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d),pflegefachkraft,P 7,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m|w|d) oder Altenpfleger (m|w|d) | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8a6230a386d4cc7c01882353072e6940
InnKlinikum Altötting,Altötting,Onkologische Tagesklinik,Gesundheits- und Krankenpfleger (m|w|d) / Pflegefachmann (m|w|d) mit FWB Onkologie,fachweiterbildung,P 9,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Ausbildung zur Pflegefachkraft (m/w/d) oder zum examinierten Gesundheits- und Krankenpfleger (m/w/d) mit Fachweiterbildung | Sie haben fundiertes Fachwissen in der onkologischen Pflege, sowie Erfahrung mit ambulanten Therapieverfahren | Sie haben die Bereitschaft sich kontinuierlich weiterzuentwickeln | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität",Erfahrung mit ambulanten Therapieverfahren,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a69ef5d25a019f45e505a10bd3
InnKlinikum Altötting,Altötting,Anästhesie,Gesundheits- und Krankenpfleger Anästhesie / ATA (m|w|d),ota_ata,P 8,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,"Sie sind ausgebildeter Gesundheits- und Krankenpfleger (m|w|d), Pflegefachmann (m|w|d) oder Anästhesietechnischer Assistent (m|w|d) | Sie verfügen idealerweise über eine erfolgreich abgeschlossene Fachweiterbildung für Anästhesie- und Intensivpflege oder streben diese an | Sie nehmen die patientenorientierte Versorgung als Ihre persönliche Herzensangelegenheit wahr | Sie haben Freude daran, Ihre persönliche Fachkompetenz mit einzubringen, übernehmen gerne Verantwortung und handeln stets zielorientiert und qualitätsbewusst | Sie bereichern uns durch Ihre offene Teamplayer-Persönlichkeit und tragen dadurch zu einer multiprofessionellen sowie harmonischen Zusammenarbeit bei",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a69bb8d50e019c2d1cd3352bb2
InnKlinikum Altötting,Altötting,Funktionsdienst,Gesundheits- und Krankenpfleger Anästhesie / ATA (m|w|d),fachweiterbildung,EG 8,Vergütung: EG 8 TVöD-K,unklar,,vollzeit,"Sie sind ausgebildeter Gesundheits- und Krankenpfleger (m|w|d), Pflegefachmann (m|w|d) oder Anästhesietechnischer Assistent (m|w|d) | Sie verfügen idealerweise über eine erfolgreich abgeschlossene Fachweiterbildung für Anästhesie- und Intensivpflege oder streben diese an | Sie nehmen die patientenorientierte Versorgung als Ihre persönliche Herzensangelegenheit wahr | Sie haben Freude daran, Ihre persönliche Fachkompetenz mit einzubringen, übernehmen gerne Verantwortung und handeln stets zielorientiert und qualitätsbewusst | Sie bereichern uns durch Ihre offene Teamplayer-Persönlichkeit und tragen dadurch zu einer multiprofessionellen sowie harmonischen Zusammenarbeit bei",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a69f857fb9019fb23cf2e44b95
InnKlinikum Altötting,Altötting,Springer-/ Flexipool,Pflegefachhelfer (m|w|d) im Springer-/ Flexipool,hilfskraft,P 6,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,vollzeit_teilzeit,"Sie haben eine mindestens einjährige abgeschlossene Ausbildung zum Gesundheits- und Krankenpflegehelfer (m|w|d), Altenpflegehelfer (m|w|d) oder | Sie handeln pflegerisch und patientenorientiert | Sie bringen gute pflegerische Fachkenntnisse mit | Sie agieren stets empathisch und den Menschen zugewandt | Sie arbeiten verantwortungsbewusst und selbstständig | Sie überzeugen als Teamplayer durch Engagement und Kollegialität",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a6980a5e1f01985f1ed6241e2e
InnKlinikum Altötting,Altötting,Pflegedienst Mühldorf,Zentraler Praxisanleiter (m|w|d),leitung,P 8,Leistungsgerechte Vergütung nach TVöD-K mit zahlreichen Zusatzleistungen,unklar,,teilzeit,Sie haben eine abgeschlossene Ausbildung zum examinierten Gesundheits- und Krankenpfleger (m/w/d) | Sie haben erfolgreich am Praxisanleiter Lehrgang teilgenommen | Sie verfügen über Erfahrung in der Tätigkeit als Praxisanleiter | Sie bringen gute pflegerische Fachkenntnisse mit | Sie arbeiten verantwortungsbewußt und selbstständig | Sie verfügen über eine hohe soziale Kompetenz und überzeugen als Teamplayer durch Engagement und Kollegialität | Sie haben EDV- Kenntnisse,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://www.innklinikum.de/stellenangebote-detailansicht/8ac789a69d87ed79019e1be9cf3e18e5
Internistisches Klinikum München Süd,München,Normalstation (Nachtdienst),Nachtdienst: Gesundheits- und Krankenpfleger oder Pflegefachkraft (m/w/d),pflegefachkraft,,,nein,,Vollzeit/Teilzeit,Abgeschlossene dreijährige Berufsausbildung zur Gesundheits- und Krankenpfleger oder Pflegefachkraft | Deutschkenntnisse mind. B2-Niveau,Erfahrung im Nachtdienst,2,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate · pay_text auf der Seite nicht gefunden, geleert",https://ikms.de/jobs/nachtdienst-pflege-m-w-d-in-vollzeit/
Internistisches Klinikum München Süd,München,Normalstation / Intensivstation,Pflegefachkraft (m/w/d),pflegefachkraft,,3.000 Euro Willkommensprämie (nach bestandener Probezeit von 6 Monaten in Vollzeit); Eine attraktive Vergütung inklusive Pflegezulage,nein,,Vollzeit,3-jährige abgeschlossene Ausbildung zur Pflegefachkraft,,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://ikms.de/jobs/pflegefachkraft-m-w-d/
Isar Kliniken,München,OP-Pflege Orthopädie,Fachbereichsverantwortlicher (w/m/d) OP-Pflege für die Orthopädie,ota_ata,,"Attraktives Gehalt: Neben einem attraktiven Gehalt erhalten Sie bei Ihrem Dienstjubiläum von 10, 20, 30 und 40 Jahren eine Sonderzahlung.",unklar,,,"Abgeschlossene Ausbildung als OTA, Gesundheits- und Krankenpfleger mit oder ohne Fachweiterbildung oder MFA im OP",Mehrjährige Berufserfahrung im Fachbereich,4,Zuordnung aus dem vorherigen Lauf übernommen,https://personal.isarklinikum.de/Fachbereichsverantwortlicher-wmd-OP-Pflege-fuer-die-Orthop-de-j352.html
Isar Kliniken,München,OP-Pflege Plastische Chirurgie,Fachbereichsverantwortlicher (w/m/d) OP-Pflege für die Plastische Chirurgie,ota_ata,,"Attraktives Gehalt: Neben einem attraktiven Gehalt erhalten Sie bei Ihrem Dienstjubiläum von 10, 20, 30 und 40 Jahren eine Sonderzahlung.",unklar,,,"Abgeschlossene Ausbildung als OTA, Gesundheits- und Krankenpfleger mit oder ohne Fachweiterbildung oder MFA im OP",Mehrjährige Berufserfahrung im Fachbereich,4,Zuordnung aus dem vorherigen Lauf übernommen,https://personal.isarklinikum.de/Fachbereichsverantwortlicher-wmd-OP-Pflege-fuer-die-Plasti-de-j245.html
Isar Kliniken,München,Kardiologie / Gefäßchirurgie mit angeschlossener Chest Pain Unit,Gesundheits- und Krankenpfleger (w/m/d) für die Kardiologie / Gefäßchirurgie mit angeschlossener Chest Pain Unit,pflegefachkraft,,"Attraktives Gehalt: Neben einem attraktiven Gehalt erhalten Sie bei Ihrem Dienstjubiläum von 10, 20, 30 und 40 Jahren eine Sonderzahlung.",unklar,,,Abgeschlossene Ausbildung als Pflegefachkraft (w/m/d) | Bewerbung auch im Anerkennungsverfahren möglich,Erste Erfahrungen auf einer Chest Pain Unit oder einer Notaufnahme wünschenswert,4,Zuordnung aus dem vorherigen Lauf übernommen,https://personal.isarklinikum.de/Gesundheits-und-Krankenpfleger-wmd-fuer-die-Kardiologie-Ge-de-j125.html
Isar Kliniken,München,Anästhesie,Gesundheits- und Krankenpfleger:in oder Fachkrankenpfleger:in (w/m/d) Anästhesie,pflegefachkraft,,"Attraktives Gehalt: Neben einem attraktiven Gehalt erhalten Sie bei Ihrem Dienstjubiläum von 10, 20, 30 und 40 Jahren eine Sonderzahlung.",unklar,,,Abgeschlossene 3-jährige Ausbildung als Gesundheits- und Krankenpfleger:in,Abgeschlossene Weiterbildung Intensiv-/Anästhesiepflege wünschenswert; idealerweise mehrjährige Berufserfahrung,4,Zuordnung aus dem vorherigen Lauf übernommen,https://personal.isarklinikum.de/Gesundheits-und-Krankenpflegerin-oder-Fachkrankenpflegerin-de-j262.html
Isar Kliniken,München,Anästhesiepflege,Leitung Anästhesie Pflege (w/m/d),leitung,,"Attraktives Gehalt: Neben einem attraktiven Gehalt erhalten Sie bei Ihrem Dienstjubiläum von 10, 20, 30 und 40 Jahren eine Sonderzahlung.",unklar,,,Abgeschlossene Ausbildung als Pflegefachkraft oder ATA | Fachweiterbildung Anästhesie- und Intensivpflege oder vergleichbare Qualifikation,Mehrjährige Berufserfahrung im Bereich Anästhesie; erste Führungserfahrung wünschenswert,4,Zuordnung aus dem vorherigen Lauf übernommen,https://personal.isarklinikum.de/Leitung-Anaesthesie-Pflege-wmd-de-j361.html
Juraklinik Scheßlitz,Scheßlitz,Zentrale Notaufnahme,Pflegefachkraft (m/w/d) für die Zentrale Notaufnahme in der Juraklinik Scheßlitz,pflegefachkraft,,,nein,,,"Abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d), Pflegefachmann (m/w/d) oder gleichwertig | Bereitschaft zur Arbeit im Schichtdienst","Idealerweise mit abgeschlossener Fachweiterbildung Notfallpflege oder der Bereitschaft, diese zu absolvieren",3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_text auf der Seite nicht gefunden, geleert",https://gkg-bamberg.de/offene-stellen/?&stellenid=776&site=stellenbeschreibung
Kinderklinik Passau,Passau,,Krankenpflege,unklar,,,,,,,,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://ichbindannmalhier.bayern/stellen/krankenpflege
Kirinus PsoriSol Klinik,Hersbruck,dermatologische Pflegestation,Pflegefachkraft (m/w/d) - PsoriSol Klinik,pflegefachkraft,,Sicher und fair: Tarifliche Vergütung inkl. Urlaubs- und Weihnachtsgeld,unklar,,vollzeit_teilzeit,"Sie sind examinierte Pflegefachkraft, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger oder Altenpfleger (m/w/d) | Sie sind teamorientiert, kommunikativ und zuverlässig – Zusammenarbeit auf Augenhöhe ist für Sie selbstverständlich | Sie bringen Neugier, Engagement und Lust auf Veränderung mit | Schicht und Wochenenddienste? Kein Problem - aber nur zu fairen Bedingungen. Genau die bekommen Sie bei uns.",,5,,https://karriereportal.kirinus.de/Pflegefachkraft-mwd-PsoriSol-Klinik-de-j798.html
Kirinus PsoriSol Klinik,Hersbruck,dermatologische Pflegestation,Pflegefachkraft (m/w/d) - PsoriSol Klinik Hersbruck,pflegefachkraft,,Sicher und fair: Tarifliche Vergütung inkl. Urlaubs- und Weihnachtsgeld,unklar,,vollzeit_teilzeit,"Sie sind examinierte Pflegefachkraft, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger oder Altenpfleger (m/w/d) | Sie sind teamorientiert, kommunikativ und zuverlässig – Zusammenarbeit auf Augenhöhe ist für Sie selbstverständlich | Sie bringen Neugier, Engagement und Lust auf Veränderung mit | Schicht und Wochenenddienste? Kein Problem - aber nur zu fairen Bedingungen. Genau die bekommen Sie bei uns.",,4,Klinik nach Anzeigenort korrigiert,https://karriere.kirinus.de/stellenangebote/detail/j798-pflegefachkraft-m/w/d-psorisol-klinik
Kirinus PsoriSol Klinik,Hersbruck,psychosomatische Pflegestation,Pflegefachkraft (m/w/d) für Dauernachtwache für die psychosomatische Pflegestation - PsoriSol Klinik,pflegefachkraft,,"Eine leistungsgerechte, attraktive Vergütung",unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachfrau/-mann, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger oder Altenpfleger (m/w/d) | Freude an der Arbeit im Nachtdienst sowie die Bereitschaft, diesen überwiegend zu übernehmen | Idealerweise Erfahrung in der Psychosomatik oder Psychiatrie, dies ist jedoch keine Voraussetzung | Auch motivierte QuereinsteigerInnen aus der Pflege sind bei uns herzlich willkommen | Empathie, Offenheit und Freude am Umgang mit Menschen | Verantwortungsbewusstsein, Zuverlässigkeit und eine selbstständige Arbeitsweise | Teamgeist, Kommunikationsstärke und Freude an multiprofessioneller Zusammenarbeit | Sehr gute Deutschkenntnisse in Wort und Schrif",,5,,https://karriereportal.kirinus.de/Pflegefachkraft-mwd-fuer-Dauernachtwache-fuer-die-psychoso-de-j1107.html
Kirinus PsoriSol Klinik,Hersbruck,psychosomatische Pflegestation,Pflegefachkraft (m/w/d) für Dauernachtwache für die psychosomatische Pflegestation - PsoriSol Klinik Hersbruck,pflegefachkraft,,"Eine leistungsgerechte, attraktive Vergütung",unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachfrau/-mann, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger oder Altenpfleger (m/w/d) | Freude an der Arbeit im Nachtdienst sowie die Bereitschaft, diesen überwiegend zu übernehmen | Idealerweise Erfahrung in der Psychosomatik oder Psychiatrie, dies ist jedoch keine Voraussetzung | Auch motivierte QuereinsteigerInnen aus der Pflege sind bei uns herzlich willkommen | Empathie, Offenheit und Freude am Umgang mit Menschen | Verantwortungsbewusstsein, Zuverlässigkeit und eine selbstständige Arbeitsweise | Teamgeist, Kommunikationsstärke und Freude an multiprofessioneller Zusammenarbeit | Sehr gute Deutschkenntnisse in Wort und Schrif",,4,Klinik nach Anzeigenort korrigiert,https://karriere.kirinus.de/stellenangebote/detail/j1107-pflegefachkraft-m/w/d-fuer-dauernachtwache-fuer-die-psychosomatische-pflegestation-psorisol-klinik
Kirinus PsoriSol Klinik,Hersbruck,dermatochirurgische Pflegestation,Pflegefachkraft (m/w/d) für die dermatochirurgische Pflegestation - PsoriSol Klinik,pflegefachkraft,,"Eine leistungsgerechte, attraktive Vergütung",unklar,,vollzeit_teilzeit,"Sie sind examinierte Pflegefachkraft, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger oder Altenpfleger (m/w/d) | Weiterbildung Fachtherapeut Wunde ICW von Vorteil | Sie sind teamorientiert, kommunikativ und zuverlässig – Zusammenarbeit auf Augenhöhe ist für Sie selbstverständlich | Sie bringen Neugier, Engagement und Lust auf Veränderung mit | Schicht und Wochenenddienste? Kein Problem - aber nur zu fairen Bedingungen. Genau die bekommen Sie bei uns.",,5,,https://karriereportal.kirinus.de/Pflegefachkraft-mwd-fuer-die-dermatochirurgische-Pflegesta-de-j1094.html
Kirinus PsoriSol Klinik,Hersbruck,dermatochirurgische Pflegestation,Pflegefachkraft (m/w/d) für die dermatochirurgische Pflegestation - PsoriSol Klinik Hersbruck,pflegefachkraft,,"Eine leistungsgerechte, attraktive Vergütung",unklar,,vollzeit_teilzeit,"Sie sind examinierte Pflegefachkraft, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger oder Altenpfleger (m/w/d) | Weiterbildung Fachtherapeut Wunde ICW von Vorteil | Sie sind teamorientiert, kommunikativ und zuverlässig – Zusammenarbeit auf Augenhöhe ist für Sie selbstverständlich | Sie bringen Neugier, Engagement und Lust auf Veränderung mit | Schicht und Wochenenddienste? Kein Problem - aber nur zu fairen Bedingungen. Genau die bekommen Sie bei uns.",,4,Klinik nach Anzeigenort korrigiert,https://karriere.kirinus.de/stellenangebote/detail/j1094-pflegefachkraft-m/w/d-fuer-die-dermatochirurgische-pflegestation-psorisol-klinik
Kirinus PsoriSol Klinik,Hersbruck,Psychosomatische Pflegestation,Pflegefachkraft / Co-Therapeut für Psychosomatische Station (m/w/d) - PsoriSol Klinik,pflegefachkraft,,Sicher und fair: Tarifliche Vergütung inkl. Urlaubs- und Weihnachtsgeld,unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger:in / Pflegefachperson. | Erfahrung in Psychosomatik oder Psychiatrie wünschenswert – aber kein Muss: Ihre Begeisterung für das Fach zählt mehr. | Offenheit für persönliche Weiterentwicklung und Bereitschaft zu Fortbildungen. | Echtes Interesse am Menschen, Empathie und Freude an Begegnung. | Teamgeist, Zuverlässigkeit und klare Kommunikation sind für Sie selbstverständlich. | Sehr gute Deutschkenntnisse (C2) in Wort und Schrift.",,5,,https://karriereportal.kirinus.de/Pflegefachkraft-Co-Therapeut-fuer-Psychosomatische-Station-de-j970.html
